year	month	day	dailytemp
2011	1	1	1.32847222222222
2011	1	2	2.05069444444444
2011	1	3	1.95416666666667
2011	1	4	2.90902777777778
2011	1	5	2.1125
2011	1	6	2.06111111111111
2011	1	7	0.661111111111111
2011	1	8	1.01319444444444
2011	1	9	2.5125
2011	1	10	0.0479166666666668
2011	1	11	-0.225
2011	1	12	1.24861111111111
2011	1	13	0.021527777777778
2011	1	14	0.106944444444444
2011	1	15	2.72222222222222
2011	1	16	-2.16736111111111
2011	1	17	-0.328472222222222
2011	1	18	0.750694444444445
2011	1	19	0.1875
2011	1	20	0.000694444444443865
2011	1	21	0.919444444444443
2011	1	22	1.48819444444444
2011	1	23	2.11319444444444
2011	1	24	2.04930555555556
2011	1	25	1.05486111111111
2011	1	26	0.353472222222222
2011	1	27	0.665277777777778
2011	1	28	0.378472222222222
2011	1	29	0.334722222222222
2011	1	30	-0.954166666666667
2011	1	31	-1.44166666666667
2011	2	1	2.91458333333333
2011	2	2	3.83680555555556
2011	2	3	2.49305555555556
2011	2	4	2.72708333333333
2011	2	5	2.85347222222222
2011	2	6	4.07291666666667
2011	2	7	4.31111111111111
2011	2	8	4.79097222222222
2011	2	9	5.58611111111111
2011	2	10	2.52569444444444
2011	2	11	1.91736111111111
2011	2	12	1.61597222222222
2011	2	13	0.720833333333333
2011	2	14	-0.0895833333333334
2011	2	15	2.36736111111111
2011	2	16	2.27916666666667
2011	2	17	6.09930555555556
2011	2	18	6.65347222222222
2011	2	19	4.11805555555556
2011	2	20	5.08611111111111
2011	2	21	7.29930555555556
2011	2	22	7.15763888888889
2011	2	23	6.23333333333333
2011	2	24	10.5048611111111
2011	2	25	11.7097222222222
2011	2	26	5.9875
2011	2	27	9.59375
2011	2	28	10.5076388888889
2011	3	1	6.9625
2011	3	2	5.49791666666667
2011	3	3	1.48194444444444
2011	3	4	0.8625
2011	3	5	3.74652777777778
2011	3	6	5.03680555555556
2011	3	7	6.61875
2011	3	8	4.64305555555556
2011	3	9	3.2375
2011	3	10	2.13819444444444
2011	3	11	2.70069444444444
2011	3	12	4.30208333333333
2011	3	13	8.18888888888889
2011	3	14	12.3972222222222
2011	3	15	11.7284722222222
2011	3	16	3.66458333333333
2011	3	17	0.463194444444444
2011	3	18	3.49930555555556
2011	3	19	9.53402777777778
2011	3	20	10.5048611111111
2011	3	21	10.4013888888889
2011	3	22	8.89444444444444
2011	3	23	4.42708333333333
2011	3	24	3.45555555555556
2011	3	25	3.6625
2011	3	26	3.30277777777778
2011	3	27	3.34097222222222
2011	3	28	4.89305555555556
2011	3	29	5.43125
2011	3	30	7.03611111111111
2011	3	31	8.07569444444444
2011	4	1	9.28194444444444
2011	4	2	8.63819444444444
2011	4	3	6.68541666666667
2011	4	4	7.8
2011	4	5	9.21388888888889
2011	4	6	9.63402777777778
2011	4	7	13.6833333333333
2011	4	8	15.1381944444444
2011	4	9	14.5118055555556
2011	4	10	12.0548611111111
2011	4	11	8.6
2011	4	12	8.10486111111111
2011	4	13	10.5631944444444
2011	4	14	12.3826388888889
2011	4	15	13.0319444444444
2011	4	16	12.5375
2011	4	17	10.5201388888889
2011	4	18	10.5006944444444
2011	4	19	8.89097222222222
2011	4	20	8.4875
2011	4	21	10.4340277777778
2011	4	22	12.0166666666667
2011	4	23	12.5305555555556
2011	4	24	9.61805555555556
2011	4	25	10.66875
2011	4	26	14.6361111111111
2011	4	27	17.9993055555556
2011	4	28	11.8798611111111
2011	4	29	11.125
2011	4	30	15.3972222222222
2011	5	1	16.5520833333333
2011	5	2	15.5958333333333
2011	5	3	14.4354166666667
2011	5	4	14.4826388888889
2011	5	5	15.2805555555556
2011	5	6	15.7298611111111
2011	5	7	20.9791666666667
2011	5	8	20.4659722222222
2011	5	9	19.7784722222222
2011	5	10	20.5916666666667
2011	5	11	18.2006944444444
2011	5	12	20.0430555555556
2011	5	13	18.3361111111111
2011	5	14	16.3666666666667
2011	5	15	16.2111111111111
2011	5	16	17.8395833333333
2011	5	17	16.1756944444444
2011	5	18	16.8076388888889
2011	5	19	17.9215277777778
2011	5	20	20.1006944444444
2011	5	21	21.7826388888889
2011	5	22	18.9604166666667
2011	5	23	14.2923611111111
2011	5	24	16.9631944444444
2011	5	25	19.275
2011	5	26	18.0173611111111
2011	5	27	17.45625
2011	5	28	18.2743055555556
2011	5	29	17.9930555555556
2011	5	30	17.1319444444444
2011	5	31	18.0104166666667
2011	6	1	17.1527777777778
2011	6	2	19.6618055555556
2011	6	3	20.2284722222222
2011	6	4	22.2451388888889
2011	6	5	20.3902777777778
2011	6	6	20.3263888888889
2011	6	7	20.3145833333333
2011	6	8	21.3166666666667
2011	6	9	22.8583333333333
2011	6	10	22.0159722222222
2011	6	11	20.8347222222222
2011	6	12	19.4368055555556
2011	6	13	20.6729166666667
2011	6	14	21.2777777777778
2011	6	15	20.2666666666667
2011	6	16	18.3944444444444
2011	6	17	21.5513888888889
2011	6	18	20.94375
2011	6	19	21.9166666666667
2011	6	20	21.8159722222222
2011	6	21	24.4055555555556
2011	6	22	24.78125
2011	6	23	26.9097222222222
2011	6	24	28.0354166666667
2011	6	25	28.6097222222222
2011	6	26	27.2854166666667
2011	6	27	27.1715277777778
2011	6	28	28.4069444444445
2011	6	29	28.1680555555556
2011	6	30	26.8222222222222
2011	7	1	24.0666666666667
2011	7	2	25.2270833333333
2011	7	3	25.5263888888889
2011	7	4	26.6611111111111
2011	7	5	25.6319444444445
2011	7	6	25.0173611111111
2011	7	7	23.6722222222222
2011	7	8	27.7729166666667
2011	7	9	28.5465277777778
2011	7	10	28.9111111111111
2011	7	11	27.8625
2011	7	12	25.0395833333333
2011	7	13	26.6006944444444
2011	7	14	26.9888888888889
2011	7	15	26.9090277777778
2011	7	16	27.8895833333333
2011	7	17	28.6625
2011	7	18	26.5138888888889
2011	7	19	25.5902777777778
2011	7	20	27.9875
2011	7	21	26.1409722222222
2011	7	22	23.66875
2011	7	23	25.2694444444444
2011	7	24	25.5270833333333
2011	7	25	26.6583333333333
2011	7	26	26.4770833333333
2011	7	27	27.0569444444444
2011	7	28	26.7833333333333
2011	7	29	26.0145833333333
2011	7	30	25.9944444444444
2011	7	31	26.1590277777778
2011	8	1	26.6673611111111
2011	8	2	27.4270833333333
2011	8	3	27.3090277777778
2011	8	4	27.9645833333333
2011	8	5	26.26875
2011	8	6	27.8194444444444
2011	8	7	28.2548611111111
2011	8	8	28.3708333333333
2011	8	9	28.5333333333333
2011	8	10	28.8868055555556
2011	8	11	27.7791666666667
2011	8	12	27.1097222222222
2011	8	13	28.6465277777778
2011	8	14	28.3770833333333
2011	8	15	27.6479166666667
2011	8	16	28.14375
2011	8	17	27.9680555555556
2011	8	18	28.4409722222222
2011	8	19	26.775
2011	8	20	22.4798611111111
2011	8	21	22.0611111111111
2011	8	22	24.5986111111111
2011	8	23	24.4951388888889
2011	8	24	26.1118055555556
