Ahal_ID	PSnum	PSname	PScontinuity
g00003	6	Embryophyta	0.916666666666667
g00005	6	Embryophyta	0.916666666666667
g00006	3	Viridiplantae	0.642857142857143
g00007	6	Embryophyta	0.916666666666667
g00008	6	Embryophyta	0.75
g00009	15	rosids	1
g00010	18	Brassicaceae	1
g00011	18	Brassicaceae	0.666666666666667
g00012	17	Brassicales	1
g00013	6	Embryophyta	0.833333333333333
g00014	9	Spermatophyta	1
g00015	6	Embryophyta	0.916666666666667
g00016	6	Embryophyta	0.916666666666667
g00017	11	Mesangiospermae	1
g00018	9	Spermatophyta	0.888888888888889
g00019	9	Spermatophyta	1
g00022	18	Brassicaceae	1
g00023	6	Embryophyta	0.833333333333333
g00024	9	Spermatophyta	1
g00025	9	Spermatophyta	1
g00026	5	Streptophytina	1
g00027	18	Brassicaceae	1
g00028	5	Streptophytina	1
g00029	6	Embryophyta	0.916666666666667
g00030	2	Eukaryota	1
g00031	17	Brassicales	1
g00032	5	Streptophytina	1
g00033	17	Brassicales	1
g00034	18	Brassicaceae	1
g00035	18	Brassicaceae	1
g00036	18	Brassicaceae	1
g00038	5	Streptophytina	1
g00039	18	Brassicaceae	1
g00040	17	Brassicales	1
g00041	10	Magnoliopsida	1
g00042	18	Brassicaceae	1
g00044	10	Magnoliopsida	0.875
g00045	17	Brassicales	1
g00046	10	Magnoliopsida	1
g00047	11	Mesangiospermae	1
g00048	3	Viridiplantae	0.928571428571429
g00049	7	Tracheophyta	0.545454545454545
g00050	10	Magnoliopsida	0.875
g00051	18	Brassicaceae	1
g00052	6	Embryophyta	1
g00053	18	Brassicaceae	1
g00054	3	Viridiplantae	0.857142857142857
g00055	10	Magnoliopsida	0.75
g00057	18	Brassicaceae	1
g00058	18	Brassicaceae	1
g00059	20	Arabidopsis	1
g00060	20	Arabidopsis	1
g00061	20	Arabidopsis	1
g00063	15	rosids	1
g00064	3	Viridiplantae	0.857142857142857
g00065	11	Mesangiospermae	0.857142857142857
g00068	11	Mesangiospermae	0.857142857142857
g00069	3	Viridiplantae	1
g00070	6	Embryophyta	1
g00071	6	Embryophyta	0.833333333333333
g00072	6	Embryophyta	0.833333333333333
g00073	6	Embryophyta	0.833333333333333
g00075	18	Brassicaceae	1
g00076	6	Embryophyta	1
g00077	5	Streptophytina	1
g00078	17	Brassicales	1
g00079	6	Embryophyta	1
g00080	6	Embryophyta	0.833333333333333
g00081	6	Embryophyta	1
g00082	5	Streptophytina	0.923076923076923
g00083	11	Mesangiospermae	1
g00084	17	Brassicales	1
g00085	6	Embryophyta	1
g00086	5	Streptophytina	1
g00087	11	Mesangiospermae	0.857142857142857
g00088	6	Embryophyta	0.916666666666667
g00089	6	Embryophyta	0.916666666666667
g00090	6	Embryophyta	1
g00091	6	Embryophyta	0.833333333333333
g00092	11	Mesangiospermae	1
g00093	6	Embryophyta	1
g00094	6	Embryophyta	1
g00095	9	Spermatophyta	1
g00096	17	Brassicales	1
g00097	17	Brassicales	1
g00098	3	Viridiplantae	0.857142857142857
g00099	6	Embryophyta	1
g00101	11	Mesangiospermae	0.857142857142857
g00102	17	Brassicales	1
g00103	10	Magnoliopsida	0.875
g00104	6	Embryophyta	1
g00106	14	Pentapetalae	1
g00107	18	Brassicaceae	0.666666666666667
g00108	6	Embryophyta	0.75
g00109	18	Brassicaceae	1
g00110	10	Magnoliopsida	1
g00111	20	Arabidopsis	1
g00112	20	Arabidopsis	1
g00113	9	Spermatophyta	1
g00114	2	Eukaryota	1
g00115	17	Brassicales	1
g00116	11	Mesangiospermae	0.857142857142857
g00117	18	Brassicaceae	1
g00118	6	Embryophyta	0.916666666666667
g00119	11	Mesangiospermae	0.857142857142857
g00120	18	Brassicaceae	1
g00121	6	Embryophyta	0.916666666666667
g00122	10	Magnoliopsida	1
g00123	10	Magnoliopsida	1
g00124	9	Spermatophyta	1
